name,region,country,latitude,longitude,timezone,population
Lubumbashi,Haut-Katanga,Democratic Republic of the Congo,-11.6609,27.4794,Africa/Lubumbashi,2221925
Manaus,Amazonas,Brazil,-3.1019,-60.025,America/Manaus,2219580
Lusaka,Lusaka Province,Zambia,-15.4067,28.2871,Africa/Lusaka,2212301
Brasília,Federal District,Brazil,-15.7797,-47.9297,America/Sao_Paulo,2207718
Zhuhai,Guangdong,China,22.2769,113.5678,Asia/Shanghai,2207090
Santo Domingo,Nacional,Dominican Republic,18.4719,-69.8923,America/Santo_Domingo,2201941
Lomé,Maritime,Togo,6.1287,1.2215,Africa/Lome,2188376
Multan,Punjab,Pakistan,30.1968,71.4782,Asia/Karachi,2169915
Havana,,Cuba,23.133,-82.383,America/Havana,2163824
Depok,West Java,Indonesia,-6.4,106.8186,Asia/Jakarta,2163635
Baotou,Inner Mongolia,China,40.6516,109.8439,Asia/Shanghai,2150000
Paris,Île-de-France,France,48.8534,2.3488,Europe/Paris,2138551
Coimbatore,Tamil Nadu,India,11.0055,76.9661,Asia/Kolkata,2136916
Qingyang,Gansu,China,35.7098,107.6445,Asia/Shanghai,2125400
Port Harcourt,Rivers State,Nigeria,4.7774,7.0134,Africa/Lagos,2120000
Pretoria,Gauteng,South Africa,-25.7449,28.1878,Africa/Johannesburg,2112693
Córdoba,Cordoba,Argentina,-31.4065,-64.1885,America/Argentina/Cordoba,2106734
Mbuji-Mayi,East Kasai,Democratic Republic of the Congo,-6.136,23.5898,Africa/Lubumbashi,2101332
Aleppo,,Syria,36.2012,37.1612,Asia/Damascus,2098210
Kunshan,Jiangsu,China,31.3776,120.9543,Asia/Shanghai,2092496
Al Mawşil al Jadīdah,Nineveh,Iraq,36.3327,43.1056,Asia/Baghdad,2065597
Weifang,Shandong,China,36.71,119.1019,Asia/Shanghai,2044028
Zunyi,Guizhou,China,27.6867,106.9072,Asia/Shanghai,2037775
Al Başrah al Qadīmah,Basra,Iraq,30.5032,47.8151,Asia/Baghdad,2015483
La Paz,La Paz Department,Bolivia,-16.5,-68.15,America/La_Paz,2004652
Lianyungang,Jiangsu,China,34.5984,119.2156,Asia/Shanghai,2001009
Medellín,Antioquia,Colombia,6.245,-75.5715,America/Bogota,1999979
Indore,Madhya Pradesh,India,22.7179,75.8333,Asia/Kolkata,1994397
Brazzaville,,Republic of the Congo,-4.2661,15.2832,Africa/Brazzaville,1982000
Tashkent,,Uzbekistan,41.2647,69.2163,Asia/Tashkent,1978028
Ganzhou,Jiangxi,China,25.8466,114.9326,Asia/Shanghai,1977253
Almaty,,Kazakhstan,43.2525,76.9115,Asia/Almaty,1977011
Khartoum,,Sudan,15.5518,32.5324,Africa/Khartoum,1974647
Hamburg,,Germany,53.5507,9.993,Europe/Berlin,1973896
Sapporo,Hokkaido,Japan,43.0667,141.35,Asia/Tokyo,1973832
Songjiang,Shanghai,China,31.0344,121.2233,Asia/Shanghai,1973500
Accra,Greater Accra,Ghana,5.556,-0.1969,Africa/Accra,1963264
Curitiba,Paraná,Brazil,-25.4278,-49.2731,America/Sao_Paulo,1948626
Ordos,Inner Mongolia,China,39.6086,109.7816,Asia/Shanghai,1940653
Sanaa,Amanat Alasimah,Yemen,15.3545,44.2065,Asia/Aden,1937451
Conakry,,Guinea,9.538,-13.6773,Africa/Conakry,1928389
Tangerang,Banten,Indonesia,-6.1781,106.63,Asia/Jakarta,1927815
Tijuana,Baja California,Mexico,32.5027,-117.0037,America/Tijuana,1922523
Hyderabad,Sindh,Pakistan,25.3969,68.3772,Asia/Karachi,1921275
Beirut,,Lebanon,33.8933,35.5016,Asia/Beirut,1916100
Jieyang,Guangdong,China,23.5418,116.3658,Asia/Shanghai,1899394
Jilin,,China,43.8465,126.5608,Asia/Shanghai,1895865
Jiading,Shanghai,China,31.3858,121.2446,Asia/Shanghai,1886100
Bucharest,,Romania,44.4323,26.1063,Europe/Bucharest,1877155
Camayenne,Conakry,Guinea,9.535,-13.6878,Africa/Conakry,1871242
Kakamega,Kakamega County,Kenya,0.2842,34.7523,Africa/Nairobi,1867579
Shangqiu,Henan,China,34.4143,115.6561,Asia/Shanghai,1859723
Nanchong,Sichuan,China,30.7951,106.0847,Asia/Shanghai,1858875
Tainan,Taiwan,Taiwan,22.9908,120.2133,Asia/Taipei,1856642
Datong,Shanxi,China,40.0936,113.2914,Asia/Shanghai,1850000
Kaduna,Kaduna State,Nigeria,10.5264,7.4388,Africa/Lagos,1850000
Omdurman,Khartoum,Sudan,15.6445,32.4777,Africa/Khartoum,1849659
Davao,Davao Region,Philippines,7.0731,125.6128,Asia/Manila,1848947
Thāne,Maharashtra,India,19.197,72.9635,Asia/Kolkata,1841488
Iztapalapa,Mexico City,Mexico,19.3553,-99.0622,America/Mexico_City,1835486
Diyarbakır,Diyarbakır Province,Turkey,37.9136,40.2172,Europe/Istanbul,1833684
Santa Cruz de la Sierra,Santa Cruz Department,Bolivia,-17.7863,-63.1812,America/La_Paz,1831434
Vadodara,Gujarat,India,22.2994,73.2081,Asia/Kolkata,1822221
Adana,,Turkey,36.9862,35.3253,Europe/Istanbul,1816750
Nanyang,Henan,China,33.0052,112.5466,Asia/Shanghai,1811812
Abu Dhabi,,United Arab Emirates,24.4512,54.397,Asia/Dubai,1807000
Palembang,South Sumatra,Indonesia,-2.9167,104.7458,Asia/Jakarta,1801367
Sharjah,,United Arab Emirates,25.3342,55.4122,Asia/Dubai,1800000
Bhopal,Madhya Pradesh,India,23.2547,77.4029,Asia/Kolkata,1798218
Jiangmen,Guangdong,China,22.5833,113.0833,Asia/Shanghai,1795459
Benin City,Edo State,Nigeria,6.3381,5.6258,Africa/Lagos,1782000
Jiangyin,Jiangsu,China,31.911,120.263,Asia/Shanghai,1779515
Fuyang,Anhui,China,32.9,115.8167,Asia/Shanghai,1768947
Montréal,Quebec,Canada,45.5088,-73.5878,America/Toronto,1762949
Bayan Nur,Inner Mongolia,China,40.7414,107.386,Asia/Shanghai,1760000
Maracaibo,Zulia,Venezuela,10.6423,-71.6109,America/Caracas,1752602
Chaozhou,Guangdong,China,23.654,116.6226,Asia/Shanghai,1750945
Minsk,Minsk City,Belarus,53.9002,27.5665,Europe/Minsk,1742124
Budapest,,Hungary,47.4984,19.0404,Europe/Budapest,1741041
Qingyuan,Guangdong,China,23.7,113.0333,Asia/Shanghai,1738424
Tai’an,Shandong,China,36.1853,117.12,Asia/Shanghai,1735425
Rasapūdipalem,Andhra Pradesh,India,17.7331,83.3162,Asia/Kolkata,1728128
Pimpri-Chinchwad,Maharashtra,India,18.6187,73.8037,Asia/Kolkata,1727692
Caloocan,National Capital Region,Philippines,14.6495,120.9679,Asia/Manila,1712945
Warsaw,Mazovia,Poland,52.2298,21.0118,Europe/Warsaw,1702139
Soweto,Gauteng,South Africa,-26.2678,27.8585,Africa/Johannesburg,1695047
Semarang,Central Java,Indonesia,-6.9931,110.4208,Asia/Jakarta,1694740
Puebla,,Mexico,19.0478,-98.2072,America/Mexico_City,1692181
Vienna,State of Vienna,Austria,48.2085,16.3721,Europe/Vienna,1691468
Barcelona,Catalonia,Spain,41.3888,2.159,Europe/Madrid,1686208
Patna,Bihar,India,25.5941,85.1356,Asia/Kolkata,1684297
Mosul,Nineveh,Iraq,36.335,43.1189,Asia/Baghdad,1683000
Kallakurichi,Tamil Nadu,India,11.7338,78.9592,Asia/Kolkata,1682687
Kampala,Central Region,Uganda,0.3163,32.5822,Africa/Kampala,1680600
Xining,Qinghai,China,36.6255,101.7574,Asia/Shanghai,1677177
Changshu,Jiangsu,China,31.6461,120.7422,Asia/Shanghai,1677050
Huainan,Anhui,China,32.6264,116.9969,Asia/Shanghai,1666826
Rabat,Rabat-Salé-Kénitra,Morocco,34.0132,-6.8326,Africa/Casablanca,1655753
Recife,Pernambuco,Brazil,-8.0539,-34.8811,America/Recife,1653461
Phoenix,Arizona,United States,33.4484,-112.074,America/Phoenix,1650070
Suzhou,Anhui,China,33.6361,116.9789,Asia/Shanghai,1647642
Ecatepec de Morelos,México,Mexico,19.6049,-99.0606,America/Mexico_City,1645352
Lu’an,Anhui,China,31.7356,116.5169,Asia/Shanghai,1644344
Valencia,Carabobo,Venezuela,10.1615,-68.0004,America/Caracas,1619470
Ludhiana,Punjab,India,30.912,75.8538,Asia/Kolkata,1618879
Yancheng,Jiangsu,China,33.3575,120.1573,Asia/Shanghai,1615717
Novosibirsk,Novosibirsk Oblast,Russia,55.0226,82.9317,Asia/Novosibirsk,1612833
Erbil,,Iraq,36.1912,44.0094,Asia/Baghdad,1612700
Fukuoka,,Japan,33.6,130.4167,Asia/Tokyo,1612392
Taizhou,Jiangsu,China,32.4907,119.9081,Asia/Shanghai,1607108
Daqing,Heilongjiang,China,46.5833,125.0,Asia/Shanghai,1604027
Manila,National Capital Region,Philippines,14.6042,120.9822,Asia/Manila,1600000
Wuhu,Anhui,China,31.3526,118.4295,Asia/Shanghai,1598165
Santiago de Querétaro,Querétaro,Mexico,20.5881,-100.3881,America/Mexico_City,1594212
Dazhou,Sichuan,China,31.2106,107.4631,Asia/Shanghai,1589435
Yangzhou,Jiangsu,China,32.3972,119.4358,Asia/Shanghai,1584237
León de los Aldama,Guanajuato,Mexico,21.1218,-101.6825,America/Mexico_City,1579803
Makkah,Mecca Region,Saudi Arabia,21.4266,39.8256,Asia/Riyadh,1578722
Philadelphia,Pennsylvania,United States,39.9524,-75.1636,America/New_York,1573916
Phnom Penh,,Cambodia,11.5625,104.916,Asia/Phnom_Penh,1573544
Guilin,Guangxi,China,25.2802,110.2964,Asia/Shanghai,1572300
Damascus,Damascus Governorate,Syria,33.5102,36.2913,Asia/Damascus,1569394
Quetta,Balochistan,Pakistan,30.1841,67.0014,Asia/Karachi,1565546
Zhaoqing,Guangdong,China,23.0489,112.4609,Asia/Shanghai,1553109
Onitsha,Anambra,Nigeria,6.1498,6.7857,Africa/Lagos,1553000
Mianyang,Sichuan,China,31.4678,104.6817,Asia/Shanghai,1550000
Auckland,,New Zealand,-36.8485,174.7635,Pacific/Auckland,1547200
Isfahan,,Iran,32.6525,51.6746,Asia/Tehran,1547164
Wanzhou,Chongqing,China,30.7645,108.3959,Asia/Shanghai,1545900
Astana,,Kazakhstan,51.1801,71.446,Asia/Almaty,1544142
Harare,,Zimbabwe,-17.8277,31.0534,Africa/Harare,1542813
Monrovia,Montserrado County,Liberia,6.3005,-10.7969,Africa/Monrovia,1542549
Putian,Fujian,China,25.4394,119.0103,Asia/Shanghai,1539389
Kawasaki,Kanagawa,Japan,35.5206,139.7172,Asia/Tokyo,1538262
Goiânia,Goiás,Brazil,-16.6786,-49.2539,America/Sao_Paulo,1536097
San Antonio,Texas,United States,29.4241,-98.4936,America/Chicago,1526656
Kobe,Hyōgo,Japan,34.6913,135.183,Asia/Tokyo,1525152
Stockholm,,Sweden,59.3294,18.0687,Europe/Stockholm,1515017
Ciudad Juárez,Chihuahua,Mexico,31.7202,-106.4608,America/Ciudad_Juarez,1512450
Cần Thơ,Can Tho City,Vietnam,10.0371,105.7883,Asia/Ho_Chi_Minh,1507187
Munich,Bavaria,Germany,48.1374,11.5755,Europe/Berlin,1505005
Khulna,Khulna Division,Bangladesh,22.8098,89.5644,Asia/Dhaka,1500689
Belém,Pará,Brazil,-1.4558,-48.5044,America/Belem,1499641
Yekaterinburg,Sverdlovsk Oblast,Russia,56.8573,60.6153,Asia/Yekaterinburg,1495066
Porto Alegre,Rio Grande do Sul,Brazil,-30.0328,-51.2302,America/Sao_Paulo,1488252
Yinchuan,Ningxia,China,38.4681,106.2731,Asia/Shanghai,1487579
Manhattan,New York,United States,40.7834,-73.9663,America/New_York,1487536
Nashik,Maharashtra,India,19.9973,73.791,Asia/Kolkata,1486053
Taizhou,Zhejiang,China,28.6627,121.4331,Asia/Shanghai,1485502
Asunción,Asuncion,Paraguay,-25.2865,-57.647,America/Asuncion,1482200
Yiwu,Zhejiang,China,29.3151,120.0768,Asia/Shanghai,1481384
Zapopan,Jalisco,Mexico,20.7211,-103.3874,America/Mexico_City,1476491
Makassar,South Sulawesi,Indonesia,-5.1486,119.4319,Asia/Makassar,1474393
Adelaide,South Australia,Australia,-34.9287,138.5986,Australia/Adelaide,1469163
Quanzhou,Fujian,China,24.9139,118.5858,Asia/Shanghai,1469157
Madurai,Tamil Nadu,India,9.919,78.1195,Asia/Kolkata,1465625
Jinhua,Zhejiang,China,29.1068,119.6442,Asia/Shanghai,1463990
Kyoto,,Japan,35.0211,135.7538,Asia/Tokyo,1463723
Cixi,Zhejiang,China,30.1764,121.2457,Asia/Shanghai,1457510
Changde,Hunan,China,29.0321,111.6984,Asia/Shanghai,1457419
Kuala Lumpur,,Malaysia,3.1412,101.6865,Asia/Kuala_Lumpur,1453975
Kayseri,,Turkey,38.7322,35.4853,Europe/Istanbul,1452458
Kaifeng,Henan,China,34.7986,114.3074,Asia/Shanghai,1451741
Anshan,Liaoning,China,41.1236,122.99,Asia/Shanghai,1450000
Karaj,Alborz Province,Iran,35.8327,50.9915,Asia/Tehran,1448075
Kathmandu,Bagmati Province,Nepal,27.7017,85.3206,Asia/Kathmandu,1442271
Daejeon,,South Korea,36.3491,127.3849,Asia/Seoul,1441203
Baoji,Shaanxi,China,34.3678,107.237,Asia/Shanghai,1437802
Suqian,Jiangsu,China,33.9492,118.2958,Asia/Shanghai,1437685
Liuzhou,Guangxi,China,24.324,109.407,Asia/Shanghai,1436599
Tirunelveli,Tamil Nadu,India,8.7274,77.6838,Asia/Kolkata,1435844
Konya,,Turkey,37.8713,32.4846,Europe/Istanbul,1433861
Zhangjiagang,Jiangsu,China,31.865,120.5389,Asia/Shanghai,1432044
